jupiler;512049337883713536;Steve301187;Wed Sep 17 01:24:10 +0000 2014;"Jupiler, les hommes savent pourquoi. Mais pour les femmes, il y a la Kekette.  #biere #humour #blaguesexiste #blague http://t.co/SthOD8arSt";twitter
jupiler;511990011060031489;vandenbogerd;Tue Sep 16 21:28:25 +0000 2014;"Hey @Jupiler, fout flesje? /cc @cuveedestrolls http://t.co/zjRZn6I7Y0";twitter
jupiler;511982204285902849;simonguilliams;Tue Sep 16 20:57:24 +0000 2014;"@La3tItB3 une bonne jupiler deriere :D";twitter
jupiler;511962491816263680;NicoLclx;Tue Sep 16 19:39:04 +0000 2014;"Enfin qqun qui voit clair!  @JeanMichelDeWae: Galatasaray-Anderlecht ! C'est du mémé niveau que la jupiler league ! nul ";twitter
jupiler;511961047003967489;JeanMichelDeWae;Tue Sep 16 19:33:20 +0000 2014;"Galatasaray-Anderlecht ! C'est du mémé niveau que la jupiler league ! nul";twitter
jupiler;511941261964894209;Justin_ryan77;Tue Sep 16 18:14:42 +0000 2014;"Jupiler - best of Belgium - Ancienne Belgique !!! #ab #anciennebelgique #jupiler #goodtimes #beer… http://t.co/5aRkFPwfAH";twitter
jupiler;511938391005724672;Bitchinsky;Tue Sep 16 18:03:18 +0000 2014;"@LevyathChaotic @freaksandgigs @f2cmb Ouh ça sent la guitare sèche, la Jupiler et les notes de  Come as you are  toute la soirée ça :D";twitter
jupiler;511900849527083008;JaycePetit;Tue Sep 16 15:34:07 +0000 2014;"@laroute3 oui et spectaculaire je regarde et ca claque et espérons qu il s achete la jupiler league et la scottich league y a du bon foot";twitter
jupiler;511873891309195264;ValDescamps;Tue Sep 16 13:47:00 +0000 2014;"@Raphapower666 la Jupiler league on m'a dit, gros duel contre Zulte";twitter
jupiler;511865637518721025;lebaroque_bru;Tue Sep 16 13:14:12 +0000 2014;"From this moment on the official beer of Le Baroque is Jupiler !!!!!!  Enfin la Jupiler est arrivé au Baroque... http://t.co/qnw9CRGEjW";twitter
jupiler;511812012175663104;AkuNoHanaTweet;Tue Sep 16 09:41:07 +0000 2014;"#Actu #Belgique La commission de review reprendra du service: L'agence belga a appris mardi au... http://t.co/dC0wfKOWYZ #Sport #Showbiz";twitter
jupiler;511808177277374464;Zonefootbe;Tue Sep 16 09:25:53 +0000 2014;"La commission de review reprendra du service: L'agence belga a appris mardi auprès de l'Union belge de footbal... http://t.co/WfF3YRX3MC";twitter
jupiler;511796127742832640;ChickaInParis;Tue Sep 16 08:38:00 +0000 2014;"“@willaxxx: J'AI L'HEURE / JUPILER #bierre #belgique https://t.co/Z4PQB6N1xd”";twitter
jupiler;511772576943984640;VrankenMaarten;Tue Sep 16 07:04:25 +0000 2014;"@jvhaute Leve de Jupiler Pro League!";twitter
jupiler;511767092979597312;tapir2701;Tue Sep 16 06:42:37 +0000 2014;"RT @BenjaMarechal: Collector. La canette Jupiler #Sttellla pour fêter les 35 ans de l'AB. Merci pour le cadeau... #jvaispaslaboire http://t…";twitter
jupiler;511766106676424704;BenjaMarechal;Tue Sep 16 06:38:42 +0000 2014;"Collector. La canette Jupiler #Sttellla pour fêter les 35 ans de l'AB. Merci pour le cadeau... #jvaispaslaboire http://t.co/LB6FuSQt5q";twitter
jupiler;511634102819495936;BornToForget;Mon Sep 15 21:54:10 +0000 2014;"RT @carlvermont: De retour à Paris après une très, très belle semaine. Merci pour tout Belle-Belgique, et vive la Jupiler mille sabords! &lt 3…";twitter
jupiler;511614713978191872;AndiOnrubia;Mon Sep 15 20:37:07 +0000 2014;"@Iratipdp21 Ligue 2 &gt  Jupiler. De calle.";twitter
